Model,TumourType,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-154,GC,untreated,"UNKNOWN,Untreated",single,277.1,21,108.6,14,6.2,21,PD
X-158,GC,untreated,"UNKNOWN,Untreated",single,53.7,22,47.5,13,9.0,60,PD
X-1586,NSCLC,untreated,"UNKNOWN,Untreated",single,3.4,36,-0.7,15,58.3,70,SD-->PD
X-1600,BRCA,untreated,"UNKNOWN,Untreated",single,637.9,10,270.2,10,3.0,10,PD
X-161,GC,untreated,"UNKNOWN,Untreated",single,435.3,21,96.5,14,7.4,31,PD
X-162,GC,untreated,"UNKNOWN,Untreated",single,320.5,21,65.2,14,9.3,31,PD
X-1631,BRCA,untreated,"UNKNOWN,Untreated",single,402.6,21,59.8,11,10.7,21,PD
X-1655,CM,untreated,"UNKNOWN,Untreated",single,144.0,20,56.1,12,11.2,33,PD
X-1658,NSCLC,untreated,"UNKNOWN,Untreated",single,156.6,21,12.3,11,14.4,25,PD
X-166,GC,untreated,"UNKNOWN,Untreated",single,157.1,21,87.5,12,4.5,47,PD
X-1683,NSCLC,untreated,"UNKNOWN,Untreated",single,122.9,20,-13.2,11,17.5,39,PD
X-169,GC,untreated,"UNKNOWN,Untreated",single,25.2,49,14.1,12,74.0,74,SD-->PD
X-171,GC,untreated,"UNKNOWN,Untreated",single,821.7,20,183.9,13,4.3,20,PD
X-1725,NSCLC,untreated,"UNKNOWN,Untreated",single,292.6,21,105.8,14,7.6,29,PD
X-177,GC,untreated,"UNKNOWN,Untreated",single,324.2,20,95.6,13,6.2,23,PD
X-1787,NSCLC,untreated,"UNKNOWN,Untreated",single,622.4,20,127.6,13,6.5,20,PD
X-1823,NSCLC,untreated,"UNKNOWN,Untreated",single,-100.0,42,-30.3,100,7.3,100,PR
X-1828,BRCA,untreated,"UNKNOWN,Untreated",single,168.1,20,50.7,13,13.7,53,PD
X-1832,BRCA,untreated,"UNKNOWN,Untreated",single,215.1,22,82.0,12,8.2,33,PD
X-1834,NSCLC,untreated,"UNKNOWN,Untreated",single,54.5,21,19.7,14,31.3,55,PD
X-1835,NSCLC,untreated,"UNKNOWN,Untreated",single,396.2,25,44.6,15,12.5,29,PD
X-1855,CRC,untreated,"UNKNOWN,Untreated",single,124.4,21,31.9,14,16.3,38,PD
X-1869,NSCLC,untreated,"UNKNOWN,Untreated",single,565.5,11,213.6,11,4.4,11,PD
X-1870,NSCLC,untreated,"UNKNOWN,Untreated",single,-18.1,11,-11.2,11,48.8,110,SD-->PD
X-1906,CM,untreated,"UNKNOWN,Untreated",single,317.4,21,88.6,14,8.3,21,PD
X-1916,BRCA,untreated,"UNKNOWN,Untreated",single,293.7,21,44.9,11,11.2,28,PD
X-1921,BRCA,untreated,"UNKNOWN,Untreated",single,193.9,21,38.5,11,12.3,52,PD
X-1934,NSCLC,untreated,"UNKNOWN,Untreated",single,391.9,12,117.1,12,6.2,12,PD
X-1948,PDAC,untreated,"UNKNOWN,Untreated",single,27.6,19,6.0,13,29.7,71,SD-->PD
X-1980,NSCLC,untreated,"UNKNOWN,Untreated",single,133.3,20,34.5,13,13.1,34,PD
